,metascore,rank,year,NA_sales,EU_sales,JP_sales,other_sales,global_sales,appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price,Launch Price,Revenue Estimated,is_aaa,total_reviews,review_ratio,ratio_rating
metascore,1.0,-0.2655704258685666,-0.08513874558971644,0.29144621590630976,0.27476845769673286,0.12437901424933426,0.17744367124243715,0.2892297047876967,-0.055620088727288686,,0.19752997847589934,-0.0029651694266025243,0.2811692170526878,0.21215169891492208,0.2719819755233841,0.2535562836389618,0.10253048566475333,0.03262036394685289,0.2777783215151139,0.211710772793957,0.2777914597099678,0.5112697922178516,0.5089821307566477
rank,-0.2655704258685666,1.0,0.07640244110486924,-0.4451633545763066,-0.4295820726580099,-0.22695432715274932,-0.26361487333933414,-0.44599488084935957,0.10069471662285197,,-0.27007503699018104,0.007791010876410161,-0.16564113287935786,-0.1883702424457921,-0.17178157217105372,-0.15798033919163412,-0.09021982510424806,-0.06007475090576814,-0.20080098707843091,-0.26515034489326833,-0.17806664459798194,-0.1052912545039505,-0.10098728584853385
year,-0.08513874558971644,0.07640244110486924,1.0,-0.0865236143823664,0.01255539835689974,-0.0961409616722681,-0.026960398601872597,-0.050170252958926874,0.3922321056483417,,-0.014206966268922963,0.2315595639711062,0.1857249762649332,0.1735070049401034,0.2256192841750603,0.2808500014649043,0.5269732242625131,0.3906545619085631,0.14987165058858243,-0.22664600917144503,0.19110092679525098,-0.10461288233576987,-0.13052966738313554
NA_sales,0.29144621590630976,-0.4451633545763066,-0.0865236143823664,1.0,0.7992234898181001,0.2926609805514736,0.7200138657849825,0.9576064896534512,-0.053792705704717204,,0.22545603994488397,-0.008698685391669323,0.35400638939342144,0.5081098269735765,0.3982409216164719,0.338379674656624,0.07830393400843333,0.00381718410104728,0.5131347238008598,0.26320387194644573,0.40452799967761166,0.04671507433845456,0.044119188047956774
EU_sales,0.27476845769673286,-0.4295820726580099,0.01255539835689974,0.7992234898181001,1.0,0.33346629004194894,0.5359078004933163,0.8934764436464343,-0.015604468226709668,,0.21785730047006463,0.0014833839278061767,0.43638719431551115,0.6583282975812477,0.48296934465841346,0.4287947016149787,0.1205665435357858,0.043320531391483855,0.6570223506616306,0.25718948979115364,0.5059377080311862,-0.01373386691177337,-0.018946730601206222
JP_sales,0.12437901424933426,-0.22695432715274932,-0.0961409616722681,0.2926609805514736,0.33346629004194894,1.0,0.27339180367473825,0.40220819578269706,0.1580880616631194,,0.09784323301186662,0.005734000648770672,0.09310573417586124,0.1591352572730748,0.14608678046561716,0.23000075340911424,0.11743198948884187,0.03754978668595994,0.16226406306283403,0.1159996591763983,0.1121956824540647,0.03688799022445269,0.035104951287421
other_sales,0.17744367124243715,-0.26361487333933414,-0.026960398601872597,0.7200138657849825,0.5359078004933163,0.27339180367473825,1.0,0.799677210996662,-0.038235063102319604,,0.14882676014394036,-0.012478757070566776,0.2185075718921141,0.33068626052331296,0.2452282028986905,0.2091455203098459,0.05169029567560924,0.006070069537605414,0.32836151430378346,0.17779305034535473,0.2535714235390305,0.005289205906832673,0.0026763574803551422
global_sales,0.2892297047876967,-0.44599488084935957,-0.050170252958926874,0.9576064896534512,0.8934764436464343,0.40220819578269706,0.799677210996662,1.0,-0.028072092297820754,,0.228595078015886,-0.006020542413928834,0.3846494867339095,0.5696491682357838,0.4326683381443506,0.3825631443502697,0.10186905335953146,0.021644410347542095,0.5711289994340331,0.2689307148417135,0.44353737067921656,0.021079868831197016,0.017232117408109468
appid,-0.055620088727288686,0.10069471662285197,0.3922321056483417,-0.053792705704717204,-0.015604468226709668,0.1580880616631194,-0.038235063102319604,-0.028072092297820754,1.0,,-0.014296689247731134,0.1718779841036713,0.044833149268372174,0.11995462662073142,0.09717859737386743,0.19261476052079193,0.5482474782497208,0.4035358347650526,0.1104400029546798,-0.2443897375047557,0.06389524617259791,-0.018605782818585773,0.004813760168187631
english,,,,,,,,,,,,,,,,,,,,,,,
